name,address,publicKey,port
node1,36b783a1189f605969f438dfaece2a4b38c65752,1d63ea654e3b256721e795dcb455d3760d16fcfe2e2f15b05f5f8c85fd8c2d76,443
pokt2,2189325a17cc673060ba5a71d0e359388e7b9360,5b3210eabe59db069255f12c230c9dfdf4244a440a4c2f5b70a6aa0fe157eb81,4202
pokt3,0344ac6824eca4ffc76477fef2f97324fdeecee8,5a634586eb544d213880830ceea2d077376eefa908a057af1526576217c10461,4203
pokt4,bf134a62336bbf27ae1402163fe985f442a68029,972f5e5b53cace2a59c8b58139e105460f587195b9f571b363c0ea53e1a62bc3,4204
pokt5,5b7a5f30e69cada0c89925b5700ddea41fda3819,b4bd05765887810954465f206a1b0a6d90bc4c826b35e2cbb1e3dd25e7ed493e,4205
pokt6,18048513acb80601bca1943c9f8072092a23a124,12d50a6786c7a7e9d3df49c5e2ea073524a22dfb43403c939bb367f2fa9d1140,4206
pokt7,af81d3709c9ec9169900a6bd2331ca5fe9a078be,3634b1e6d9ceb1db6cdae4f99ba4760f96a3b6bd56eea5f2313d68519ba2fd7f,4207
pokt8,1ac87113615b58bdf870a221f92513921543c18f,d83b51b99cf79f86d8f05c94a7d6f220f9aa27d956632fd0f987b377b30bc505,4208
pokt9,7c40b3d02f0ebd4b121dd85a96f49e41ce91d053,923f26f5807a6b69fbed869d39e19d16a56fb1d52cb8c959d782d03a7d9a2174,4209
pokt10,6a0a6361b90680a579e0f64487bf43d5096681d7,a32c73eaf47d48ce8a5f36e048fbf34d8705cf24771e9220b986d13ceb56a666,4210
pokt11,18b0ae52d7b4b70f3e942057117914d685ddbcaa,c7af1e7ceef237d3341776a7edffb4321c6a9797fcf3c368f4f999a27ae0ed15,4211
pokt12,ebf25d7dcf3eb0ed6aabcc9efb7bd1788d568675,c40e617c54b6010cabdd3148677f023199ba64b20181a931de443f0d7e91234c,4212
pokt13,7b9d51f0e2680802844e21612baeebae31ee2645,4722f4c10f2f67810f646ab99afb2dfe813422411196b0824b9f8d284a4b811e,4213
pokt14,d0218b2d4a52410aedaa8c23cb9c978c890a3eac,ba09e82c4dc85a9810dae86cbde1baa01e23e6c1f315820b87d3f302afefe54b,4214
pokt15,10dde3592fd42fe96f0d902b7ace000cfc65d715,c39c87d57fb09a4c62dfde9331edc228b5671b44022c9dd22d4349c5fe63e248,4215
pokt16,1ece8b79c1fdfdc3a28f01dfefcc4859680898c2,ea6167af609a3860c7586530be9b34211a78ec921d71663f9c448ef992bf2399,4216
pokt17,098c8a3658002f8b9cbc913def831b6b86a79cb5,bb6ddf827242b9f47116ac4c03e05bbb6565f562f84d7d8c40d3dc5e81eb3263,4217
pokt18,acb7c244c9f31bf7126d4a6d54a302d563905e58,23cc8c8930e26b01a7c2fa225d5c0af8a7617dea377c9c8aa70e94190ef435eb,4218
pokt19,d851f8ccbdc6e67523c4ffac95e1ec918f81c8fd,5636a1f4f04d4b12362ef19fa8bf0c54a1abde86a30f7e3d5e701c07ea400f4b,4219
